Date,Open,High,Low,Close,Adj Close,Volume
1998-12-01,32.406250,33.187500,31.781250,32.625000,25.389729,1488400
1999-01-01,32.656250,37.843750,32.000000,37.812500,29.426785,14408300
1999-02-01,38.156250,38.375000,33.343750,34.062500,26.508434,37772500
1999-03-01,33.625000,37.812500,32.875000,36.593750,28.478321,24454200
1999-04-01,37.500000,39.562500,34.125000,36.812500,28.648565,14803300
1999-05-01,37.000000,39.281250,35.375000,36.937500,28.745840,8576500
1999-06-01,36.984375,40.625000,35.468750,40.484375,31.506124,7156600
1999-07-01,40.656250,44.000000,39.718750,40.015625,31.141329,7672000
1999-08-01,39.812500,42.687500,37.937500,41.421875,32.235710,9005300
1999-09-01,41.718750,43.937500,40.062500,41.250000,32.101971,10105600
1999-10-01,41.062500,43.203125,38.468750,42.500000,33.074741,13624600
1999-11-01,42.625000,49.000000,42.140625,46.671875,36.321419,9600500
1999-12-01,46.500000,55.000000,46.500000,53.875000,41.927113,12957600
2000-01-01,55.625000,55.625000,47.875000,50.562500,39.349987,26007000
2000-02-01,50.515625,56.500000,50.031250,55.875000,43.484409,14345000
2000-03-01,56.000000,65.437500,55.875000,60.562500,47.132435,25334100
2000-04-01,59.812500,60.750000,47.250000,55.000000,42.803440,19069700
2000-05-01,55.812500,56.250000,44.687500,49.281250,38.352863,10430200
2000-06-01,50.250000,56.984375,49.937500,54.187500,42.171131,7453200
2000-07-01,54.062500,57.750000,49.843750,51.312500,39.933670,4436200
2000-08-01,51.250000,56.656250,48.843750,56.531250,43.995125,4197800
2000-09-01,57.031250,57.187500,46.312500,46.375000,36.091080,6812600
2000-10-01,47.062500,47.437500,39.500000,43.718750,34.023884,10161600
2000-11-01,43.250000,44.656250,33.765625,34.750000,27.043997,9777200
2000-12-01,35.750000,39.375000,29.625000,31.312500,24.368786,31240300
2001-01-01,31.437500,39.062500,29.140625,37.299999,29.028517,18885300
2001-02-01,37.419998,37.650002,27.590000,28.010000,21.798630,16537600
2001-03-01,27.650000,30.209999,24.299999,24.799999,19.300461,20568600
2001-04-01,24.950001,32.000000,21.850000,28.809999,22.421219,21948800
2001-05-01,28.799999,31.190001,27.170000,27.629999,21.502892,17379100
2001-06-01,27.900000,29.690001,25.480000,28.170000,21.923149,8168200
2001-07-01,27.900000,28.510000,25.049999,26.219999,20.405577,9975700
