Date,Open,High,Low,Close,Adj Close,Volume
1998-12-01,30.250000,30.828125,29.640625,30.234375,14.102325,162900
1999-01-01,30.015625,30.734375,29.203125,29.484375,13.752500,988800
1999-02-01,29.656250,29.796875,28.218750,28.671875,13.373522,502900
1999-03-01,28.437500,29.000000,26.687500,26.687500,12.447940,412200
1999-04-01,26.796875,29.828125,26.796875,29.265625,13.740255,350000
1999-05-01,29.359375,30.343750,29.046875,29.609375,13.901647,907900
1999-06-01,29.515625,31.000000,29.203125,30.640625,14.385825,581300
1999-07-01,30.796875,31.421875,29.906250,30.734375,14.518362,208100
1999-08-01,30.781250,31.468750,28.296875,29.265625,13.824546,395300
1999-09-01,29.062500,29.812500,27.890625,29.781250,14.068114,432900
1999-10-01,29.593750,30.375000,27.765625,29.937500,14.250522,397400
1999-11-01,30.000000,30.390625,28.500000,28.953125,13.781948,453400
1999-12-01,28.906250,29.843750,27.828125,28.140625,13.395191,2634100
2000-01-01,28.937500,28.937500,26.234375,27.640625,13.241100,1887600
2000-02-01,27.593750,27.609375,23.375000,24.281250,11.631805,1018600
2000-03-01,25.156250,27.093750,24.921875,26.734375,12.806964,1635500
2000-04-01,26.640625,29.375000,26.000000,28.484375,13.747007,1009300
2000-05-01,28.234375,28.859375,27.078125,28.421875,13.716843,2492500
2000-06-01,28.328125,29.906250,27.156250,27.250000,13.151280,10761200
2000-07-01,27.906250,29.015625,27.234375,27.671875,13.456063,3874900
2000-08-01,27.859375,29.312500,27.781250,28.750000,13.980330,681300
2000-09-01,28.984375,32.562500,28.781250,32.281250,15.697476,3679300
2000-10-01,31.984375,34.156250,30.812500,34.156250,16.747047,1225100
2000-11-01,34.281250,34.546875,33.343750,34.140625,16.739391,467600
2000-12-01,34.000000,34.421875,31.406250,33.187500,16.272072,487200
2001-01-01,32.937500,33.921875,30.062500,31.320000,15.581881,973100
2001-02-01,31.450001,32.709999,31.200001,31.969999,15.905264,532900
2001-03-01,31.799999,32.060001,28.299999,31.290001,15.566957,1341800
2001-04-01,31.290001,33.270000,29.940001,32.799999,16.433800,2151000
2001-05-01,33.000000,33.549999,31.900000,33.029999,16.549036,658900
2001-06-01,32.700001,32.900002,30.030001,31.150000,15.607105,802100
2001-07-01,31.000000,32.220001,29.330000,30.870001,15.577394,733600
2001-08-01,30.700001,31.469999,29.639999,29.770000,15.022318,811100
2001-09-01,29.900000,30.430000,28.389999,29.260000,14.764973,2107300
2001-10-01,29.209999,30.309999,27.600000,27.719999,14.095654,1904600
2001-11-01,28.000000,28.799999,27.260000,27.370001,13.917671,3354600
2001-12-01,27.230000,28.299999,26.639999,28.030001,14.253285,1328400
2002-01-01,27.900000,28.700001,26.280001,27.020000,13.846130,1830500
2002-02-01,27.250000,27.340000,25.780001,26.969999,13.820503,1410300
2002-03-01,27.250000,28.540001,27.200001,28.180000,14.440558,1691100
2002-04-01,27.900000,28.250000,25.400000,26.469999,13.674071,1727800
2002-05-01,26.309999,27.250000,25.350000,26.250000,13.560427,2050500
2002-06-01,26.190001,26.309999,23.330000,24.250000,12.527246,1671500
2002-07-01,24.370001,24.370001,16.400000,20.680000,10.786325,2803000
2002-08-01,20.799999,22.740000,19.629999,21.500000,11.214017,2544500
2002-09-01,21.549999,21.549999,17.440001,18.670000,9.737938,5099300
2002-10-01,18.889999,19.110001,14.900000,18.240000,9.629589,20008700
2002-11-01,18.139999,19.389999,17.299999,18.770000,9.909401,10791900
2002-12-01,18.850000,19.490000,17.920000,19.150000,10.110019,11815800
2003-01-01,19.379999,20.700001,18.219999,18.700001,9.990067,15442800
2003-02-01,18.799999,18.840000,16.709999,17.700001,9.455839,10068700
2003-03-01,17.900000,18.740000,17.389999,18.400000,9.829800,9243800
2003-04-01,18.510000,20.240000,18.309999,19.990000,10.793353,8530100
2003-05-01,20.000000,22.420000,19.610001,22.010000,11.884025,19859900
2003-06-01,22.299999,22.950001,21.959999,22.120001,11.943420,13760400
2003-07-01,21.990000,22.250000,20.500000,20.639999,11.239368,10354300
2003-08-01,20.760000,21.100000,20.120001,21.049999,11.462629,9023800
2003-09-01,20.969999,21.969999,20.969999,21.900000,11.925494,12850500
