Date,Open,High,Low,Close,Adj Close,Volume
1998-12-01,25.875000,28.796875,25.875000,27.156250,16.673035,465200
1999-01-01,27.375000,27.593750,25.109375,26.796875,16.452387,1719500
1999-02-01,26.984375,27.265625,25.625000,26.515625,16.279718,939200
1999-03-01,26.421875,27.953125,26.046875,26.437500,16.231739,1359400
1999-04-01,26.718750,27.671875,25.000000,25.515625,15.693410,1346200
1999-05-01,25.750000,26.968750,24.765625,25.250000,15.530046,1242500
1999-06-01,25.296875,26.109375,24.406250,25.593750,15.741462,969100
1999-07-01,25.671875,26.250000,24.546875,24.640625,15.215732,831800
1999-08-01,24.671875,26.046875,23.562500,25.062500,15.476242,886300
1999-09-01,24.984375,25.500000,22.250000,22.750000,14.048251,1184400
1999-10-01,22.812500,25.281250,22.671875,24.828125,15.366276,1410600
1999-11-01,25.062500,25.640625,24.390625,24.906250,15.414628,1245600
1999-12-01,24.734375,25.359375,22.390625,23.031250,14.254171,8163100
2000-01-01,23.125000,24.484375,22.078125,23.234375,14.421904,5072600
2000-02-01,23.046875,23.171875,20.093750,20.515625,12.734337,3187400
2000-03-01,20.421875,21.640625,18.343750,21.218750,13.170770,11689500
2000-04-01,21.625000,23.468750,21.359375,22.343750,13.913595,2498400
2000-05-01,22.500000,24.453125,22.156250,23.937500,14.906039,3675800
2000-06-01,24.171875,25.234375,23.015625,25.234375,15.713607,2902300
2000-07-01,25.078125,25.656250,23.968750,24.312500,15.174521,1456600
2000-08-01,24.421875,25.343750,23.812500,24.015625,14.989234,1804000
2000-09-01,24.062500,25.250000,23.250000,24.984375,15.593875,8447500
2000-10-01,24.828125,26.843750,24.578125,26.718750,16.739813,1445100
2000-11-01,26.750000,28.515625,26.250000,27.640625,17.317377,1571500
2000-12-01,27.531250,28.875000,26.609375,28.562500,17.894947,952700
2001-01-01,28.625000,28.750000,25.500000,26.480000,16.638763,2164900
2001-02-01,26.620001,27.459999,25.920000,26.639999,16.739300,2768400
2001-03-01,26.639999,26.660000,22.520000,24.719999,15.532870,1760200
2001-04-01,24.799999,25.530001,23.820000,25.200001,15.880807,753700
2001-05-01,25.309999,26.240000,24.920000,25.570000,16.113985,1857900
2001-06-01,25.600000,26.250000,24.309999,24.309999,15.319939,2271300
2001-07-01,24.629999,25.480000,23.959999,25.049999,15.836481,1019300
2001-08-01,25.250000,26.100000,24.719999,25.170000,15.912350,1875100
2001-09-01,25.200001,26.100000,23.200001,25.059999,15.842809,5803000
2001-10-01,25.200001,25.950001,24.900000,24.900000,15.791693,3276300
2001-11-01,25.129999,26.250000,24.980000,26.000000,16.489319,2326400
2001-12-01,26.000000,26.070000,24.750000,25.400000,16.108793,1256100
2002-01-01,25.200001,25.580000,24.139999,25.230000,16.057455,4717100
2002-02-01,25.510000,26.100000,24.620001,25.760000,16.394768,4209800
2002-03-01,25.920000,26.500000,25.709999,26.100000,16.611162,6118800
2002-04-01,25.980000,26.090000,24.900000,25.129999,16.040031,3196700
2002-05-01,25.170000,25.559999,24.530001,24.850000,15.861305,2256500
2002-06-01,24.900000,24.969999,21.830000,22.250000,14.201774,2534800
2002-07-01,22.299999,22.650000,18.719999,21.299999,13.636836,2310800
2002-08-01,21.200001,22.340000,20.260000,21.469999,13.745676,1992100
2002-09-01,21.250000,21.820000,19.500000,19.790001,12.670091,1976000
2002-10-01,19.889999,21.379999,19.889999,20.559999,13.248251,4795300
2002-11-01,20.500000,20.830000,19.600000,19.990000,12.880957,2362700
2002-12-01,20.100000,20.450001,19.719999,19.940001,12.848739,3185900
2003-01-01,20.010000,20.680000,18.760000,19.260000,12.476794,3053800
2003-02-01,19.340000,19.480000,18.500000,18.670000,12.094593,3406100
2003-03-01,18.770000,19.490000,17.820000,18.570000,12.029815,7015600
2003-04-01,18.350000,19.360001,18.350000,19.120001,12.454286,6026900
2003-05-01,19.070000,20.139999,18.799999,20.059999,13.066576,6543000
2003-06-01,20.200001,20.799999,20.010000,20.160000,13.131714,4228700
2003-07-01,20.010000,20.570000,19.950001,20.129999,13.171638,2641000
2003-08-01,19.959999,20.530001,19.700001,20.469999,13.394108,4226300
2003-09-01,20.440001,20.900000,20.200001,20.320000,13.295956,4005100
2003-10-01,20.340000,21.320000,20.340000,21.240000,13.945472,6363700
2003-11-01,21.340000,21.540001,20.980000,21.490000,14.109611,2553900
2003-12-01,21.410000,21.780001,21.180000,21.780001,14.300024,4818800
2004-01-01,21.750000,21.959999,21.340000,21.780001,14.360611,7337300
2004-02-01,21.780001,23.110001,21.770000,23.020000,15.178194,7934300
2004-03-01,23.120001,23.309999,22.160000,22.879999,15.085889,8023500
2004-04-01,22.830000,23.389999,22.600000,23.180000,15.339104,7969900
2004-05-01,23.299999,23.379999,22.389999,23.049999,15.253072,12626400
2004-06-01,23.049999,23.670000,22.870001,23.090000,15.279546,8283400
2004-07-01,23.139999,23.150000,21.830000,21.950001,14.579558,10170500
2004-08-01,21.860001,22.490000,21.600000,22.340000,14.838597,6005700
2004-09-01,22.320000,22.790001,21.360001,21.660000,14.386930,10821800
2004-10-01,21.660000,22.000000,21.180000,21.799999,14.541169,12738800
2004-11-01,21.809999,23.059999,21.700001,22.340000,14.901361,10762700
2004-12-01,22.350000,23.290001,22.350000,23.080000,15.394960,17349800
2005-01-01,23.299999,23.520000,22.830000,23.350000,15.639380,15380600
2005-02-01,23.400000,23.799999,23.059999,23.320000,15.619278,14012300
2005-03-01,23.440001,23.799999,22.650000,23.020000,15.418344,15090300
2005-04-01,23.200001,23.270000,22.459999,22.780001,15.321005,19219500
2005-05-01,22.870001,23.650000,22.740000,23.309999,15.677456,14449200
2005-06-01,23.299999,23.570000,22.670000,22.750000,15.300821,13853100
2005-07-01,22.850000,23.629999,22.549999,23.480000,15.867909,17341100
2005-08-01,23.510000,23.510000,22.809999,23.070000,15.590823,26015400
2005-09-01,23.129999,23.459999,22.400000,23.280001,15.732748,28437200
2005-10-01,23.200001,23.350000,22.520000,23.170000,15.736646,21869500
2005-11-01,23.330000,23.780001,22.959999,23.379999,15.879274,17943900
2005-12-01,23.600000,24.030001,23.250000,23.290001,15.818159,21342600
2006-01-01,23.309999,23.629999,23.160000,23.330000,15.925143,31081600
2006-02-01,23.260000,23.900000,23.010000,23.530001,16.061659,22002200
2006-03-01,23.650000,24.490000,23.440001,23.600000,16.109434,31943300
2006-04-01,23.750000,23.879999,23.080000,23.830000,16.351936,20253400
2006-05-01,23.889999,24.260000,23.480000,23.879999,16.386242,28285100
2006-06-01,23.879999,24.430000,23.430000,24.190001,16.598963,35603300
2006-07-01,24.240000,24.790001,23.910000,24.570000,16.949972,38462100
2006-08-01,24.650000,25.540001,24.360001,25.520000,17.605352,41118000
2006-09-01,25.600000,26.559999,25.160000,25.379999,17.508766,37078800
2006-10-01,25.200001,26.049999,24.340000,25.830000,17.908463,40763300
2006-11-01,25.860001,25.990000,25.360001,25.610001,17.755938,45108500
2006-12-01,25.690001,26.299999,25.389999,26.120001,18.109529,23936400
2007-01-01,26.070000,26.790001,26.040001,26.650000,18.570734,32644400
2007-02-01,26.730000,27.270000,25.809999,26.240000,18.285027,29514600
2007-03-01,25.799999,26.870001,25.500000,26.650000,18.570734,38077500
2007-04-01,26.629999,27.719999,26.590000,27.400000,19.188091,22929300
2007-05-01,27.389999,27.879999,27.040001,27.770000,19.447201,36485500
2007-06-01,27.809999,28.030001,26.709999,27.049999,18.942982,28735900
2007-07-01,27.129999,27.790001,26.270000,26.280001,18.517141,37381600
2007-08-01,26.450001,27.750000,26.020000,26.900000,18.954004,49992100
2007-09-01,27.040001,27.980000,26.620001,27.980000,19.714979,46933300
2007-10-01,27.900000,28.719999,27.620001,28.410000,20.129475,92987700
2007-11-01,28.500000,29.309999,27.510000,29.190001,20.682127,55278600
2007-12-01,29.370001,29.770000,28.540001,28.799999,20.405798,48229200
2008-01-01,28.530001,28.910000,24.379999,27.200001,19.371016,114797500
2008-02-01,27.200001,27.980000,26.700001,27.129999,19.321169,66026300
2008-03-01,26.959999,28.110001,26.299999,27.860001,19.841045,77944000
2008-04-01,28.120001,28.459999,27.650000,27.650000,19.796785,62021700
2008-05-01,27.820000,28.650000,27.540001,28.490000,20.398211,48494200
2008-06-01,28.490000,28.670000,26.360001,26.750000,19.152409,66428100
2008-07-01,26.360001,27.900000,26.290001,27.400000,19.703024,88858200
2008-08-01,27.490000,29.020000,27.280001,28.139999,20.235153,60323200
2008-09-01,28.450001,30.290001,26.660000,27.600000,19.846838,117222400
2008-10-01,27.530001,28.750000,21.629999,24.120001,17.462496,189758000
2008-11-01,24.580000,25.360001,21.400000,24.070000,17.426298,130968700
2008-12-01,23.590000,24.480000,22.459999,23.870001,17.281500,137978800
2009-01-01,23.940001,24.430000,22.010000,22.150000,16.173187,135042200
2009-02-01,21.910000,22.600000,20.280001,20.360001,14.866190,120793400
2009-03-01,20.139999,21.820000,19.280001,21.100000,15.406515,115881700
2009-04-01,20.990000,22.250000,20.820000,22.000000,16.158812,121115500
2009-05-01,22.070000,23.260000,21.750000,23.120001,16.981441,130026800
2009-06-01,23.340000,23.959999,22.639999,22.990000,16.885954,117610500
2009-07-01,23.090000,24.889999,22.820000,24.520000,18.147587,100671100
2009-08-01,24.629999,25.010000,24.020000,24.820000,18.369619,80183800
2009-09-01,24.709999,25.680000,24.480000,25.459999,18.843290,116925400
2009-10-01,25.389999,26.660000,25.090000,25.830000,19.253628,141794000
2009-11-01,25.830000,27.240000,25.770000,26.780001,19.961754,126399200
2009-12-01,27.000000,27.290001,25.959999,26.469999,19.730680,131283300
2010-01-01,26.450001,27.040001,26.160000,26.200001,19.714384,167681500
2010-02-01,26.360001,27.209999,25.709999,27.030001,20.338924,136984400
2010-03-01,27.129999,28.190001,27.020000,27.930000,21.016134,125340600
2010-04-01,28.059999,28.200001,27.450001,27.629999,20.878485,94957700
2010-05-01,27.660000,27.860001,24.950001,26.350000,19.911255,184928000
2010-06-01,26.260000,26.969999,25.430000,25.500000,19.268963,162718000
2010-07-01,25.530001,27.459999,25.299999,26.980000,20.533602,164229500
2010-08-01,27.260000,27.430000,26.350000,26.480000,20.153065,164005400
2010-09-01,26.770000,28.219999,26.709999,27.879999,21.218563,142448900
2010-10-01,27.910000,29.000000,27.760000,28.770000,22.052063,113096200
2010-11-01,28.879999,29.270000,28.219999,28.320000,21.707150,134255400
2010-12-01,28.540001,29.580000,28.540001,29.309999,22.465973,103503400
2011-01-01,29.430000,29.719999,28.799999,28.879999,22.329699,127493400
2011-02-01,29.000000,29.820000,28.889999,29.719999,22.979176,120300000
2011-03-01,29.840000,30.040001,28.719999,29.920000,23.133816,183782400
2011-04-01,29.959999,31.570000,29.959999,31.520000,24.509615,139165100
2011-05-01,31.600000,32.459999,31.280001,32.310001,25.123917,210378900
2011-06-01,32.270000,32.320000,30.570000,31.230000,24.284117,250520700
2011-07-01,31.170000,31.920000,30.770000,30.830000,24.141199,146286900
2011-08-01,31.120001,31.120001,28.070000,30.889999,24.188187,362046000
2011-09-01,30.900000,31.139999,29.170000,29.660000,23.225046,238319400
2011-10-01,29.480000,31.680000,28.700001,31.040001,24.479359,208722200
2011-11-01,30.530001,31.930000,30.190001,31.900000,25.157591,144021300
2011-12-01,31.959999,32.720001,31.299999,32.490002,25.622889,121785900
2012-01-01,32.689999,32.779999,31.840000,32.029999,25.488480,154887800
2012-02-01,32.160000,33.349998,32.160000,33.230000,26.443398,120079200
2012-03-01,33.250000,34.150002,32.869999,34.080002,27.119806,117899400
2012-04-01,34.080002,34.419998,33.419998,34.180000,27.343380,118397700
2012-05-01,34.180000,34.439999,33.360001,33.779999,27.023384,113253500
2012-06-01,33.459999,34.770000,33.049999,34.770000,27.815367,131761700
2012-07-01,34.630001,35.820000,34.450001,35.630001,28.699617,114933100
2012-08-01,35.790001,36.000000,35.020000,35.459999,28.562683,117952500
2012-09-01,35.509998,36.400002,35.400002,35.830002,28.860712,131799100
2012-10-01,35.840000,36.590000,35.139999,35.389999,28.707525,114936200
2012-11-01,35.459999,36.070000,33.959999,36.040001,29.234783,127506800
2012-12-01,36.009998,36.450001,34.330002,34.900002,28.310047,154954200
2013-01-01,35.400002,37.060001,35.290001,36.869999,30.243633,101413500
2013-02-01,37.119999,38.450001,36.790001,38.090000,31.244370,123406400
2013-03-01,37.900002,39.799999,37.889999,39.770000,32.622440,116066900
2013-04-01,39.730000,41.439999,39.500000,40.939999,33.748077,219750900
2013-05-01,40.889999,42.200001,40.029999,40.049999,33.014416,278620100
2013-06-01,40.150002,41.880001,38.869999,39.669998,32.701172,344380500
2013-07-01,39.910000,41.849998,39.480000,41.389999,34.341721,169039900
